Url,Zestimate,Price,Rent Zestimate,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,City,Zip,State,Country,Broker Name,,sgapt,statusText,statusType
https://www.zillow.com/homedetails/42618-Peregrine-Ave-Big-Bear-Lake-CA-92315/17619686_zpid/,445206,449000,2157,1,3,680,SINGLE_FAMILY,42618 Peregrine Ave,Big Bear Lake,92315,CA,USA,VENTURE REAL ESTATE,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/484-Edgemoor-Rd-Big-Bear-Lake-CA-92315/17383534_zpid/,667200,795000,2999,2,3,2116,SINGLE_FAMILY,484 Edgemoor Rd,Big Bear Lake,92315,CA,USA,,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/796-Cove-Dr-Big-Bear-Lake-CA-92315/17382237_zpid/,1115457,1195000,3989,2,3,1892,SINGLE_FAMILY,796 Cove Dr,Big Bear Lake,92315,CA,USA,RE/MAX Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43166-Sunset-Dr-Big-Bear-Lake-CA-92315/17621046_zpid/,567230,589000,2484,2,3,1334,SINGLE_FAMILY,43166 Sunset Dr,Big Bear Lake,92315,CA,USA,RE/MAX BIG BEAR,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/595-Killington-Way-Big-Bear-Lake-CA-92315/17618966_zpid/,1168700,1249000,4758,3,3,2888,SINGLE_FAMILY,595 Killington Way,Big Bear Lake,92315,CA,USA,BHG Desert Lifestyle Properties,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/42580-Willow-Ave-Big-Bear-Lake-CA-92315/137976992_zpid/,784948,799900,2813,3,4,1686,SINGLE_FAMILY,42580 Willow Ave,Big Bear Lake,92315,CA,USA,ALL STAR REALTY,,New Construction,New construction,FOR_SALE
https://www.zillow.com/homedetails/1179-Sheephorn-Rd-Big-Bear-Lake-CA-92315/2061303780_zpid/,,599900,,2,3,1140,SINGLE_FAMILY,1179 Sheephorn Rd,Big Bear Lake,92315,CA,USA,Re/Max Big Bear,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/518-Waynoka-Ln-Big-Bear-Lake-CA-92315/17384351_zpid/,593132,595000,2392,2,3,1284,SINGLE_FAMILY,518 Waynoka Ln,Big Bear Lake,92315,CA,USA,WHEELER STEFFEN SOTHEBY'S INT,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/112-Eagle-Dr-Big-Bear-Lake-CA-92315/17385978_zpid/,1604300,2100000,6713,4,5,4159,SINGLE_FAMILY,112 Eagle Dr,Big Bear Lake,92315,CA,USA,Mills Realty of California,,For Sale (Broker),House for sale,FOR_SALE
https://www.zillow.com/homedetails/43076-Moonridge-Rd-Big-Bear-Lake-CA-92315/17620828_zpid/,818303,829000,3586,3,4,2748,SINGLE_FAMILY,43076 Moonridge Rd,Big Bear Lake,92315,CA,USA,Wheeler Steffen Sotheby's Intl,,For Sale (Broker),House for sale,FOR_SALE
